TIME,PCKT_ACC_X,PCKT_ACC_Y,PCKT_ACC_Z
24-May-2018 11:38:53,0.371042857142857,-0.491428571428571,-0.647971428571429
24-May-2018 11:38:53,0.371042857142857,-0.491428571428571,-0.647971428571429
24-May-2018 11:38:53,0.371042857142857,-0.491428571428571,-0.647971428571429
24-May-2018 11:38:53,0.371042857142857,-0.491428571428571,-0.647971428571429
24-May-2018 11:38:54,0.0434428571428571,-0.935257142857143,0.160485714285714
24-May-2018 11:38:54,0.0434428571428571,-0.935257142857143,0.160485714285714
24-May-2018 11:38:54,0.0434428571428571,-0.935257142857143,0.160485714285714
24-May-2018 11:38:54,0.0434428571428571,-0.935257142857143,0.160485714285714
24-May-2018 11:38:55,-0.173333333333333,-0.528733333333333,0.904633333333333
24-May-2018 11:38:55,-0.173333333333333,-0.528733333333333,0.904633333333333
24-May-2018 11:38:55,-0.173333333333333,-0.528733333333333,0.904633333333333
24-May-2018 11:38:55,-0.173333333333333,-0.528733333333333,0.904633333333333
24-May-2018 11:38:56,-0.286633333333333,0.083,1.10766666666667
24-May-2018 11:38:56,-0.286633333333333,0.083,1.10766666666667
24-May-2018 11:38:56,-0.286633333333333,0.083,1.10766666666667
24-May-2018 11:38:56,-0.286633333333333,0.083,1.10766666666667
24-May-2018 11:38:57,-0.22206,0.1351,1.06214
24-May-2018 11:38:57,-0.22206,0.1351,1.06214
24-May-2018 11:38:57,-0.22206,0.1351,1.06214
24-May-2018 11:38:57,-0.22206,0.1351,1.06214
24-May-2018 11:38:58,-0.116666666666667,0.264766666666667,1.17346666666667
24-May-2018 11:38:58,-0.116666666666667,0.264766666666667,1.17346666666667
24-May-2018 11:38:58,-0.116666666666667,0.264766666666667,1.17346666666667
24-May-2018 11:38:58,-0.116666666666667,0.264766666666667,1.17346666666667
24-May-2018 11:38:59,-0.01032,-0.8062,0.53374
24-May-2018 11:38:59,-0.01032,-0.8062,0.53374
24-May-2018 11:38:59,-0.01032,-0.8062,0.53374
24-May-2018 11:38:59,-0.01032,-0.8062,0.53374
24-May-2018 11:39:00,-0.03618,-0.99968,0.0834
24-May-2018 11:39:00,-0.03618,-0.99968,0.0834
24-May-2018 11:39:00,-0.03618,-0.99968,0.0834
24-May-2018 11:39:00,-0.03618,-0.99968,0.0834
24-May-2018 11:39:01,-0.0388,-0.995333333333333,0.1146
24-May-2018 11:39:01,-0.0388,-0.995333333333333,0.1146
24-May-2018 11:39:01,-0.0388,-0.995333333333333,0.1146
24-May-2018 11:39:01,-0.0388,-0.995333333333333,0.1146
24-May-2018 11:39:02,-0.03772,-0.99986,0.1099
24-May-2018 11:39:02,-0.03772,-0.99986,0.1099
24-May-2018 11:39:02,-0.03772,-0.99986,0.1099
24-May-2018 11:39:02,-0.03772,-0.99986,0.1099
